역명,호선,위도,경도,시청과의거리,주소
마천,5호선,37.494972,127.152784,17.33213705037221,"14, 마천로57길, 마천1동, 송파구, 서울, 05758, 대한민국"
강일,5호선,37.557521,127.176018,17.465163204284575,"강일, 산22-14, 고덕로, 강일동, 상일2동, 강동구, 서울, 05216, 대한민국"
응암,6호선,37.59859,126.915583,6.566157254496671,"응암, 477, 증산로, 역촌동, 은평구, 서울, 03449, 대한민국"
역촌,6호선,37.60605,126.922764,6.56666851272266,"진흥로, 역촌동, 은평구, 서울, 03461, 대한민국"
불광,6호선,37.610919,126.929504,6.535676045985063,"통일로, 대조동, 은평구, 서울, 03397, 대한민국"
독바위,6호선,37.618413,126.933035,7.003597444035783,"불광로, 불광동, 불광1동, 은평구, 서울, 03352, 대한민국"
연신내,6호선,37.617293,127.091375,11.455106449919,"신내로, 신내동, 신내2동, 중랑구, 서울, 02024, 대한민국"
구산,6호선,37.618596,126.920519,7.699261577760217,"연서로, 대조동, 은평구, 서울, 03350, 대한민국"
새절(신사),6호선,37.611223,126.917246,7.313360186755307,"구산, 137-1, 연서로, 구산동, 대조동, 은평구, 서울, 03413, 대한민국"
증산(명지대앞),6호선,37.591148,126.913613,6.3133599532504805,"신현아파트, 389, 증산로, 신사동, 신사2동, 은평구, 서울, 03442, 대한민국"
